"Story","Title","Result","Date","Stability","Duration (s)"
"ACT-1 - Default Contract","VIR-226.01 Verify that the dropdown list with contracts is shown in the header","PENDING","2017-08-11T14:07:08.767+03:00","0.0","0.0"
"ACT-1 - Default Contract","VIR-226.01A Verify that the script switch the contract A to the contract B automatically for bunch of selected customers","PENDING","2017-08-11T14:07:11.801+03:00","0.0","0.0"
"ACT-1 - Default Contract","VIR-226.02 Verify that the default contract is selected automatically if no other contract is selected","PENDING","2017-08-11T14:07:09.215+03:00","0.0","0.0"
"ACT-1 - Default Contract","VIR-226.03 Verify that each customer has their own default contract","PENDING","2017-08-11T14:07:09.585+03:00","0.0","0.0"
"ACT-1 - Default Contract","VIR-226.04 Verify that the assigned to the shopper contracts (defined at the Ship To level) are shown in the list","PENDING","2017-08-11T14:07:09.982+03:00","0.0","0.0"
"ACT-1 - Default Contract","VIR-226.05 Verify that shopper can change the contract as many times, as they want","PENDING","2017-08-11T14:07:10.309+03:00","0.0","0.0"
"ACT-1 - Default Contract","VIR-226.06 Verify that if the shopper changed the contract, the prices and product list are updated accordingly to the selected contract","PENDING","2017-08-11T14:07:10.681+03:00","0.0","0.0"
"ACT-1 - Default Contract","VIR-226.07 Verify that if the contract is changed in customer master, it is changed to the customer without any notification","PENDING","2017-08-11T14:07:11.054+03:00","0.0","0.0"
"ACT-1 - Default Contract","VIR-226.08 Verify that the prices shows n/a, if the contract expired and the new one is not selected by shopper","PENDING","2017-08-11T14:07:11.397+03:00","0.0","0.0"
"ACT-3 - Service Level Pricing","VIR-228.01 Verify that the shopper can see the the prices per service level","PENDING","2017-08-11T14:07:19.950+03:00","0.0","0.0"
"ACT-3 - Service Level Pricing","VIR-228.02 Verify if the shopper changed the service level, prices are changed accordingly","PENDING","2017-08-11T14:07:20.698+03:00","0.0","0.0"
"ACT-3 - Service Level Pricing","VIR-228.03 Verify that the proper prices are shown","PENDING","2017-08-11T14:07:21.205+03:00","0.0","0.0"
"ACT-4 - Virco Rep","VIR-229.01 Verify that shopper can see the assigned to them Virco Rep at the 'Sales Representative' within My Account","PENDING","2017-08-11T14:07:21.727+03:00","0.0","0.0"
"ACT-4 - Virco Rep","VIR-229.01A Verify that the admin can set the Virco Rep for each customer","PENDING","2017-08-11T14:07:22.824+03:00","0.0","0.0"
"ACT-4 - Virco Rep","VIR-229.02 Verify that the following info is shown for Virco Rep","PENDING","2017-08-11T14:07:22.230+03:00","0.0","0.0"
"ACT-4 - Virco Rep","VIR-229.02A Verify that the Virco Rep is assigned while creating the customer","PENDING","2017-08-11T14:07:23.422+03:00","0.0","0.0"
"ACT-5 - Contract Available","VIR-230.01 Verify that customer can set the contract from the list in the header","PENDING","2017-08-11T14:07:23.872+03:00","0.0","0.0"
"ACT-5 - Contract Available","VIR-230.02 Verify that if the contract has expired, the customer is required to select the active contract with the following message","PENDING","2017-08-11T14:07:24.412+03:00","0.0","0.0"
"ACT-6 - Contract Expired","VIR-231.01 Verify that the 'Pricing not available' is shown to the product when selected contract has expired during browsing the site","PENDING","2017-08-11T14:07:24.876+03:00","0.0","0.0"
"ACT-6 - Contract Expired","VIR-231.02 Verify that the 'Pricing not available' is shown to the product when default contract has expired during browsing the site","PENDING","2017-08-11T14:07:25.347+03:00","0.0","0.0"
"ACT-6 - Contract Expired","VIR-231.03 Verify that the modal message is shown to the customer on loggin, that the contract has expired","PENDING","2017-08-11T14:07:25.833+03:00","0.0","0.0"
"ACT-6 - Contract Expired","VIR-231.04 Verify that the expired contract is removed from the list once the new active one is selected","PENDING","2017-08-11T14:07:26.603+03:00","0.0","0.0"
"ACT-6 - Contract Expired","VIR-231.05 Verify that the message, that prices will be due to the current contract, is shown to the shopper if they wants to reorder the order, which contract has expired","PENDING","2017-08-11T14:07:27.320+03:00","0.0","0.0"
"ACT-7 - Chief Contract Details View","VIR-232.01 Verify that the Chief can view the contracts within contract details within Company Management","PENDING","2017-08-11T14:07:28.011+03:00","0.0","0.0"
"ACT-7 - Chief Contract Details View","VIR-232.02 Verify that the following info is shown to each of the contract","PENDING","2017-08-11T14:07:28.640+03:00","0.0","0.0"
"ACT-7 - Chief Contract Details View","VIR-232.03 Verify that the Chief cannot edit or delete the contracts within contract details within Company Management","PENDING","2017-08-11T14:07:29.152+03:00","0.0","0.0"
"ACT-8 - Support Tickets","VIR-233.01 Verify that the customer is able to open the Support Ticket form within My Account","PENDING","2017-08-11T14:07:29.688+03:00","0.0","0.0"
"ACT-8 - Support Tickets","VIR-233.02 Verify that the Support Ticket form has the following fields","PENDING","2017-08-11T14:07:30.199+03:00","0.0","0.0"
"ACT-8 - Support Tickets","VIR-233.03 Verify the fields validation rules.","PENDING","2017-08-11T14:07:30.670+03:00","0.0","0.0"
"ACT-8 - Support Tickets","VIR-233.04 Verify that Support Ticket creating can be canceled","PENDING","2017-08-11T14:07:31.265+03:00","0.0","0.0"
"ACT-8 - Support Tickets","VIR-233.05  Verify that the following info is sent to the CRM after creating the Support Ticket","PENDING","2017-08-11T14:07:31.808+03:00","0.0","0.0"
"ACT-8 - Support Tickets","VIR-233.06 Verify that the email is sent by the shopper to the reviewer","PENDING","2017-08-11T14:07:32.434+03:00","0.0","0.0"
"ACT-8 - Support Tickets","VIR-233.07 Verify the email (email comp) shows appropriate information","PENDING","2017-08-11T14:07:32.974+03:00","0.0","0.0"
"ACT-8 - Support Tickets","VIR-233.08 Verify that the ticket is routed to the CSR to review","PENDING","2017-08-11T14:07:33.536+03:00","0.0","0.0"
"ACT-8 - Support Tickets","VIR-233.09 Verify that the shopper can see the support tickets created by them","PENDING","2017-08-11T14:07:34.010+03:00","0.0","0.0"
"ACT-8 - Support Tickets","VIR-233.10 Verify that the shopper can see the status of the support ticket within ticket history.","PENDING","2017-08-11T14:07:34.620+03:00","0.0","0.0"
"ACT-8 - Support Tickets","VIR-233.11  Verify that the following information is shown for the ticket within ticket history","PENDING","2017-08-11T14:07:35.133+03:00","0.0","0.0"
"ACT-9 - Contract Pricing","VIR-234.01 Verify the the logged in customer can see the prices based on his contract","PENDING","2017-08-11T14:07:35.653+03:00","0.0","0.0"
"ACT-9 - Contract Pricing","VIR-234.02 Verify that the logged in user can see the prices below the item on the following pages","PENDING","2017-08-11T14:07:36.261+03:00","0.0","0.0"
"ACT-9 - Contract Pricing","VIR-234.03 Verify that when customer changed the contract, the pricing is changed accordingly","PENDING","2017-08-11T14:07:36.800+03:00","0.0","0.0"
"ACT-10 - Order History Date Range","VIR-235.01 Verify that the shopper can view the order history within My Account","PENDING","2017-08-11T14:06:52.761+03:00","0.0","0.0"
"ACT-10 - Order History Date Range","VIR-235.02 Verify that the newest order is shown first in the list","PENDING","2017-08-11T14:06:55.491+03:00","0.0","0.0"
"ACT-10 - Order History Date Range","VIR-235.03 Verify that the orders can be filtered by","PENDING","2017-08-11T14:06:55.970+03:00","0.0","0.0"
"ACT-10 - Order History Date Range","VIR-235.04 Verify that the current year view of orders is set by default","PENDING","2017-08-11T14:06:56.161+03:00","0.0","0.0"
"ACT-10 - Order History Date Range","VIR-235.05 Verify that the orders can be sorted by","PENDING","2017-08-11T14:06:56.641+03:00","0.0","0.0"
"ACT-10 - Order History Date Range","VIR-235.06 Verify that the orders can be grouped by PO# (alpha-numeric)","PENDING","2017-08-11T14:06:56.867+03:00","0.0","0.0"
"ACT-11 - View Orders - Shopper ECC","VIR-236.01 Verify that the shopper can see the created by him ECC orders withing Orders History","PENDING","2017-08-11T14:06:57.221+03:00","0.0","0.0"
"ACT-11 - View Orders - Shopper ECC","VIR-236.02 Verify that the shopper is able to see the ECC orders details","PENDING","2017-08-11T14:06:57.458+03:00","0.0","0.0"
"ACT-11 - View Orders - Shopper ECC","VIR-236.03 Verify that shopper is not able to reorder the ECC orders","PENDING","2017-08-11T14:06:57.786+03:00","0.0","0.0"
"ACT-12 - View Orders - Admin","VIR-237.01 Verify that the chief shopper is able to view the orders created by others within their organization","PENDING","2017-08-11T14:06:58.094+03:00","0.0","0.0"
"ACT-12 - View Orders - Admin","VIR-237.02 Verify that all orders are shown at the same page","PENDING","2017-08-11T14:06:58.429+03:00","0.0","0.0"
"ACT-13 - Purchase History","VIR-238.01 Verify that the stuff shopper can view orders created by him/her","PENDING","2017-08-11T14:06:58.712+03:00","0.0","0.0"
"ACT-13 - Purchase History","VIR-238.02 Verify that the admin shoppers can view orders placed by admin and stuff shoppers within organization","PENDING","2017-08-11T14:06:59.017+03:00","0.0","0.0"
"ACT-14 - Reorder","VIR-239.01 Verify that the shopper can see the Reorder button near each order in the list of orders history","PENDING","2017-08-11T14:06:59.336+03:00","0.0","0.0"
"ACT-14 - Reorder","VIR-239.02 Verify that the Reorder button is present at the order details page","PENDING","2017-08-11T14:06:59.600+03:00","0.0","0.0"
"ACT-14 - Reorder","VIR-239.03 Verify that the Reorder button is present only near the orders created by shopper","PENDING","2017-08-11T14:06:59.907+03:00","0.0","0.0"
"ACT-14 - Reorder","VIR-239.04 Verify that the new order with the same order details is created after reordering","PENDING","2017-08-11T14:07:00.182+03:00","0.0","0.0"
"ACT-14 - Reorder","VIR-239.05 Verify that the Admin can reorder the orders created by him and stuff shoppers","PENDING","2017-08-11T14:07:00.474+03:00","0.0","0.0"
"ACT-14 - Reorder","VIR-239.06 Verify that the Chief can reorder the orders created by him, admin and stuff shoppers","PENDING","2017-08-11T14:07:00.804+03:00","0.0","0.0"
"ACT-14 - Reorder","VIR-239.07 Verify that the Stuff shopper can reorder the orders created by him\her only","PENDING","2017-08-11T14:07:01.069+03:00","0.0","0.0"
"ACT-15 - Customer Management","VIR-240.01 Verify that the following message is shown to the customer if they entered wrong login data at first and second times","PENDING","2017-08-11T14:07:01.345+03:00","0.0","0.0"
"ACT-15 - Customer Management","VIR-240.02 Verify that the error message is shown to the customer if they entered wrong login data three and more times","PENDING","2017-08-11T14:07:01.601+03:00","0.0","0.0"
"ACT-15 - Customer Management","VIR-240.03 Verify that the account is locked automatically after 3 incorrect login attempts","PENDING","2017-08-11T14:07:01.903+03:00","0.0","0.0"
"ACT-15 - Customer Management","VIR-240.04 Verify that the customer can phone via Skype when they click on the phone number from desktop browser","PENDING","2017-08-11T14:07:02.193+03:00","0.0","0.0"
"ACT-15 - Customer Management","VIR-240.05 Verify that the customer can phone via phone/skype when they click on the phone number from mobile device","PENDING","2017-08-11T14:07:02.486+03:00","0.0","0.0"
"ACT-16 - CSR Mass Set Up","VIR-241.01 Verify that the bunch of customers are created in hybris after running mass setup script","PENDING","2017-08-11T14:07:02.699+03:00","0.0","0.0"
"ACT-16 - CSR Mass Set Up","VIR-241.02 Verify that the personal details are mapped appropriately","PENDING","2017-08-11T14:07:03.083+03:00","0.0","0.0"
"ACT-16 - CSR Mass Set Up","VIR-241.03 Verify that the data outlined in ID3 are copied into the hybris","PENDING","2017-08-11T14:07:03.355+03:00","0.0","0.0"
"ACT-16 - CSR Mass Set Up","VIR-241.04 Verify that just set up customers can log into the system and perform appropriate activities (due to the permissions)","PENDING","2017-08-11T14:07:03.733+03:00","0.0","0.0"
"ACT-18 - Tracking Information","VIR-243.01 Verify that the order tracking number is shown at the Order History and on the Order Details pages","PENDING","2017-08-11T14:07:05.836+03:00","0.0","0.0"
"ACT-18 - Tracking Information","VIR-243.02 Verify that the several order tracking number can be shown for one order","PENDING","2017-08-11T14:07:06.225+03:00","0.0","0.0"
"ACT-18 - Tracking Information","VIR-243.03 Verify that the order delivery status is shown in new window after clicking on tracking number link","PENDING","2017-08-11T14:07:06.599+03:00","0.0","0.0"
"ACT-18 - Tracking Information","VIR-243.04 Verify that the chief shopper can see the order tracking number for the orders created by","PENDING","2017-08-11T14:07:06.910+03:00","0.0","0.0"
"ACT-18 - Tracking Information","VIR-243.05 Verify that the admin shopper can see the order tracking number for the orders created by","PENDING","2017-08-11T14:07:07.286+03:00","0.0","0.0"
